,Breed,Breed Group AKC,average height,average weight,average lifespan
154,Puli,Herding Group,16.0,28.5,12.5
155,Pumi,Herding Group,16.75,25.0,12.5
156,Rat Terrier,Terrier Group,14.0,22.5,15.0
157,Redbone Coonhound,Hound Group,24.0,57.5,13.5
158,Rhodesian Ridgeback,Hound Group,25.5,75.0,12.0
159,Rottweiler,Working Group,24.5,112.5,9.5
160,Saint Bernard,Working Group,30.5,160.0,9.0
161,Saluki,Hound Group,25.5,52.5,13.5
162,Samoyed,Working Group,21.5,50.0,13.0
163,Schapendoes,Foundation Stock Service,18.0,40.5,13.5
164,Schipperke,Non-Sporting Group,11.5,14.5,13.0
165,"Schnauzer, Standard",Working Group,19.5,39.0,14.5
166,Scottish Deerhound,Hound Group,29.5,92.5,9.5
167,Scottish Terrier,Terrier Group,10.5,20.5,13.0
168,Sealyham Terrier,Terrier Group,11.0,21.5,13.0
169,Shetland Sheepdog,Herding Group,14.5,17.0,13.0
170,Shiba Inu,Non-Sporting Group,15.0,20.0,14.5
171,Shih Tzu,Toy Group,9.5,13.5,14.0
172,Siberian Husky,Working Group,21.5,47.5,13.0
173,Silky Terrier,Toy Group,9.5,9.0,14.0
174,Skye Terrier,Terrier Group,8.5,29.0,13.0
175,Smooth Fox Terrier,Terrier Group,15.5,16.5,13.5
176,Spinone Italiano,Sporting Group,25.0,74.0,11.0
177,Staffordshire Bull Terrier,Terrier Group,15.0,31.0,13.0
178,Sussex Spaniel,Sporting Group,14.5,43.0,14.0
179,Tibetan Mastiff,Working Group,27.0,115.0,11.0
180,Tibetan Spaniel,Non-Sporting Group,10.0,12.0,13.5
181,Tibetan Terrier,Non-Sporting Group,15.5,24.0,15.5
182,Toy Fox Terrier,Toy Group,10.0,5.75,14.0
183,Treeing Tennessee Brindle,Foundation Stock Service,20.0,40.0,11.0
184,Treeing Walker Coonhound,Hound Group,23.5,60.0,12.5
185,Vizsla,Sporting Group,23.0,55.0,13.0
186,Weimaraner,Sporting Group,25.0,72.5,11.5
187,Welsh Springer Spaniel,Sporting Group,18.0,45.0,13.5
188,Welsh Terrier,Terrier Group,15.0,20.5,13.5
189,West Highland White Terrier,Terrier Group,11.0,18.5,14.0
190,"Wheaten Terrier, Soft-Coated",Terrier Group,18.5,35.0,13.0
191,Whippet,Hound Group,19.5,32.5,13.5
192,Wire Fox Terrier,Terrier Group,15.5,16.5,13.5
193,Wirehaired Pointing Griffon,Sporting Group,22.0,52.5,13.5
194,Yorkshire Terrier,Toy Group,7.0,5.5,13.0
