Breed,Breed Group AKC,Breed Group CKC,Breed Group UKC,CKC Subgroup,height_low_inches,height_high_inches,average height,weight_low_lbs,weight_high_lbs,average weight,Lifespan Low,Lifespan High,average lifespan
Keeshond,Non-Sporting Group,Group 2: Spitz and Nordic Breeds,Northern,2-B: European Spitz Breeds,17,20,18.5,35,66,50.5,12,15,13.5
Kerry Blue Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,17,20,18.5,33,45,39,12,15,13.5
Komondor,Working Group,Group 10: Pastoral and Stock Dog Breeds ,Guardian Dog,9-A Large Mountain/Pastoral Dogs Shepherding Type ,23,30,26.5,80,135,107.5,10,12,11
Kuvasz,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs  ,Guardian Dog,None,26,30,28,70,115,92.5,10,12,11
Labrador Retriever,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-C: Retrievers and Waterdogs,21,25,23,55,80,67.5,10,12,11
Lakeland Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,13,15,14,15,18,16.5,12,15,13.5
Lhasa Apso,Non-Sporting Group,Group 12: Companion and Toy Breeds,Companion Dog,12-B: Asian Breeds ,9,12,10.5,12,18,15,12,15,13.5
Maltese,Toy Group,Group 12: Companion and Toy Breeds,Companion Dog,12-C: European and African Breeds,7,10,8.5,4,9,6.5,12,15,13.5
Manchester Terrier (Standard),Terrier Group,Group 6: Terrier Breeds ,Terrier,6-B: Medium Terriers ,14,17,15.5,12,22,17,15,17,16
Manchester Terrier (Toy),Toy Group,Group 6: Terrier Breeds ,Terrier,None,10,12,11,6,12,9,15,17,16
Mastiff,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,26,30,28,120,230,175,6,10,8
Miniature Bull Terrier,Terrier Group,Group 4: Bull Breeds ,Terrier,4-B: Bull-and-Terrier Breeds,10,14,12,18,28,23,11,13,12
Miniature Pinscher,Toy Group,Group 5: Pinschers and Schnauzers ,Companion Dog,5-B: Small Pinschers and Schnauzers,10,13,11.5,8,13,10.5,12,16,14
Neapolitan Mastiff,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,23,31,27,110,154,132,7,9,8
Nederlandse Kooikerhondje,Sporting Group,Not Recognized,Not Recognized,Not Recognized,14,17,15.5,20,30,25,12,15,13.5
Newfoundland,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs ,Guardian Dog,9-B: Large Pastoral/Mountain Dogs and Related Breeds ,24,30,27,100,152,126,9,10,9.5
Norfolk Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers ,8,11,9.5,10,12,11,12,16,14
Norrbottenspets,Miscellaneous Class,Not Recognized,Not Recognized,Not Recognized,16.8,18,17.4,20,30,25,14,17,15.5
Norwegian Elkhound,Hound Group,Group 2: Spitz and Nordic Breeds,Northern,2-E: Nordic Hunting Dogs ,19.5,20.5,20,48,55,51.5,12,15,13.5
Nova Scotia Duck Tolling Retriever,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,None,17,21,19,35,51,43,12,14,13
