Breed,Breed Group AKC,Breed Group CKC,Breed Group UKC,CKC Subgroup,height_low_inches,height_high_inches,average height,weight_low_lbs,weight_high_lbs,average weight,Lifespan Low,Lifespan High,average lifespan
Spinone Italiano,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,None,22,28,25,62,86,74,10,12,11
Staffordshire Bull Terrier,Terrier Group,Group 4: Bull Breeds,Terrier,4-B: Bull-and-Terrier Breeds ,14,16,15,24,38,31,12,14,13
Sussex Spaniel,Sporting Group,Group 11: Gun Dog Breeds,Gun Dog,None,13,16,14.5,35,51,43,13,15,14
Tibetan Mastiff,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs ,Guardian Dog,None,24,30,27,70,160,115,10,12,11
Tibetan Spaniel,Non-Sporting Group,Group 12: Companion and Toy Breeds ,Companion Dog,12-B: Asian Breeds,9,11,10,9,15,12,12,15,13.5
Tibetan Terrier,Non-Sporting Group,Group 12: Companion and Toy Breeds ,Companion Dog,12-B: Asian Breeds ,14,17,15.5,18,30,24,15,16,15.5
Toy Fox Terrier,Toy Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers,8,12,10,3.5,8,5.75,13,15,14
Treeing Tennessee Brindle,Foundation Stock Service,Group 7: Scenthounds and Related Breeds ,Scenthound,None,16,24,20,30,50,40,10,12,11
Treeing Walker Coonhound,Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,7-A: Large Scenthounds ,20,27,23.5,50,70,60,12,13,12.5
Vizsla,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs ,21,25,23,44,66,55,12,14,13
Weimaraner,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs ,22,28,25,55,90,72.5,10,13,11.5
Welsh Springer Spaniel,Sporting Group,Group 11: Gun Dog Breeds,Gun Dog,None,17,19,18,35,55,45,12,15,13.5
Welsh Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,14,16,15,19,22,20.5,12,15,13.5
West Highland White Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers ,10,12,11,15,22,18.5,13,15,14
"Wheaten Terrier, Soft-Coated",Terrier Group,Group 6: Terrier Breeds ,Terrier,6-A: Large Terriers ,17,20,18.5,30,40,35,12,14,13
Whippet,Hound Group,Group 8: Sighthound Breeds,Sighthound & Pariah,8-A: Smooth Coated Sighthounds ,17,22,19.5,25,40,32.5,12,15,13.5
Wire Fox Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-B: Medium Terriers ,15,16,15.5,15,18,16.5,12,15,13.5
Wirehaired Pointing Griffon,Sporting Group,Not Recognized,Gun Dog,Not Recognized,20,24,22,35,70,52.5,12,15,13.5
Yorkshire Terrier,Toy Group,Group 6: Terrier Breeds ,Companion Dog,6-C: Small Terriers ,6,8,7,4,7,5.5,11,15,13
